"magazine_id","State","sample_issue_date","sample_period_end_date","num_mail_subscriptions","num_single_copy_sales"
"1","Georgia","1930-08-01","1930-12-31","8","681"
"1","Georgia","1930-10-01","1930-06-30","8","799"
"1","Georgia","1931-04-01","1931-06-30","4","493"
"7","Georgia","1925-11-28","1925-12-31","9",
"7","Georgia","1930-11-08","1930-12-31","201","189"
"7","Georgia","1935-11-16","1935-12-31","300","233"
"7","Georgia","1940-03-16","1940-06-30","496","338"
"1","Idaho","1928-01-01","1928-06-30",,"308"
"1","Idaho","1928-10-01","1928-12-31","3","330"
"1","Idaho","1929-02-01","1929-06-30",,"356"
"1","Idaho","1929-11-01","1929-12-31","2","350"
"1","Idaho","1930-08-01","1930-12-31","3","275"
"1","Idaho","1930-10-01","1930-06-30","4","340"
"1","Idaho","1931-04-01","1931-06-30","1","222"
"7","Idaho","1925-11-28","1925-12-31","2",
"7","Idaho","1930-11-08","1930-12-31","20","16"
"7","Idaho","1935-11-16","1935-12-31","45","38"
"7","Idaho","1940-03-16","1940-06-30","95","42"
"1","Illinois","1928-01-01","1928-06-30",,"6437"
"1","Illinois","1928-10-01","1928-12-31","11","5492"
"1","Illinois","1929-02-01","1929-06-30","12","6913"
"1","Illinois","1929-11-01","1929-12-31","17","6723"
"1","Illinois","1930-08-01","1930-12-31","21","5386"
"1","Illinois","1930-10-01","1930-06-30","14","6428"
"1","Illinois","1931-04-01","1931-06-30","16","4461"
"7","Illinois","1925-11-28","1925-12-31","43",
"7","Illinois","1930-11-08","1930-12-31","1549","2152"
"7","Illinois","1935-11-16","1935-12-31","2661","2770"
"7","Illinois","1940-03-16","1940-06-30","4896","3298"
"1","Indiana","1928-01-01","1928-06-30",,"2028"
"1","Indiana","1928-10-01","1928-12-31","5","2037"
"1","Indiana","1929-02-01","1929-06-30","4","2367"
"1","Indiana","1929-11-01","1929-12-31","4","2571"
"1","Indiana","1930-08-01","1930-12-31","9","2152"
"1","Indiana","1930-10-01","1930-06-30","4","2365"
"1","Indiana","1931-04-01","1931-06-30","5","1467"
"7","Indiana","1925-11-28","1925-12-31","7",
"7","Indiana","1930-11-08","1930-12-31","414","541"
"7","Indiana","1935-11-16","1935-12-31","689","499"
"7","Indiana","1940-03-16","1940-06-30","947","580"
"1","Iowa","1928-01-01","1928-06-30",,"1931"
"1","Iowa","1928-10-01","1928-12-31","7","1440"
"1","Iowa","1929-02-01","1929-06-30","8","1693"
"1","Iowa","1929-11-01","1929-12-31","8","1412"
"1","Iowa","1930-08-01","1930-12-31","10","1387"
"1","Iowa","1930-10-01","1930-06-30","12","1639"
"1","Iowa","1931-04-01","1931-06-30","5","956"
"7","Iowa","1925-11-28","1925-12-31","7",
"7","Iowa","1930-11-08","1930-12-31","233","217"
"7","Iowa","1935-11-16","1935-12-31","465","230"
"7","Iowa","1940-03-16","1940-06-30","616","285"
"1","Kansas","1928-01-01","1928-06-30",,"196"
"1","Kansas","1928-10-01","1928-12-31","6","1145"
"1","Kansas","1929-02-01","1929-06-30","5","1385"
"1","Kansas","1929-11-01","1929-12-31","6","1444"
"1","Kansas","1930-08-01","1930-12-31","5","1065"
"1","Kansas","1930-10-01","1930-06-30","5","1411"
"1","Kansas","1931-04-01","1931-06-30","5","865"
"7","Kansas","1925-11-28","1925-12-31","5",
"7","Kansas","1930-11-08","1930-12-31","134","200"
"7","Kansas","1935-11-16","1935-12-31","261","209"
"7","Kansas","1940-03-16","1940-06-30","337","122"
